,user_id,item_id,artwork_medium,materials,artwork_year,artwork_price,dwell,visits,is_collected,rating
0,97e73199-59b2-ea11-a812-000d3ad7a49b,139248,Sculpture, Spanish walnut  iroko and wood,2021,16152.57,57.4175,2,0,3.8
1,97e73199-59b2-ea11-a812-000d3ad7a49b,139097,Painting,Acrylic on canvas,2021,20000.0,1744.835,1,0,3.4
2,97e73199-59b2-ea11-a812-000d3ad7a49b,133976,Sculpture,bronze,2020,37500.5,1015.956522,1,0,3.1
3,97e73199-59b2-ea11-a812-000d3ad7a49b,139768,Sculpture,pink  green  and blue fluorescent light,1976,625000.5,666.4285714,1,0,3.1
4,97e73199-59b2-ea11-a812-000d3ad7a49b,139526,Sculpture,Bronze,2018,350000.5,703.0,1,0,3.1
5,97e73199-59b2-ea11-a812-000d3ad7a49b,135367,Painting,Soft pastel on linen,2021,250000.0,385.5,1,0,2.8
6,97e73199-59b2-ea11-a812-000d3ad7a49b,139402,Sculpture,cajacatinga wood  beeswax and metallic pin,2009,37500.5,446.0,1,0,2.8
7,97e73199-59b2-ea11-a812-000d3ad7a49b,139242,Photography,dye sublimation print,2021,37500.5,441.0,1,0,2.8
8,97e73199-59b2-ea11-a812-000d3ad7a49b,140354,Sculpture,Polyester Durag  fabric stiffener  water,2021,17500.5,227.0,1,0,2.8
9,97e73199-59b2-ea11-a812-000d3ad7a49b,139021,Sculpture,Corten steel,2021,14000.0,136.0,1,0,2.5
10,97e73199-59b2-ea11-a812-000d3ad7a49b,140856,Sculpture,Single cast patinated bronze,2021,15800.0,166.835,1,0,2.5
11,97e73199-59b2-ea11-a812-000d3ad7a49b,139904,Sculpture,wood  plaster  glass beads  white paint  red paint  ceramic piano baby  Danbury Bell Collection of these United States  CRT  ringing the bells  old love  new love  sorrow love  hard love  the first love  lies  cloth  yarn  cowrie.,2021,40000.0,85.44444444,1,0,2.5
12,97e73199-59b2-ea11-a812-000d3ad7a49b,139244,Sculpture,bronze,2018,17500.5,39.165,1,0,2.2
13,97e73199-59b2-ea11-a812-000d3ad7a49b,139810,Sculpture,Wood  canvas  cables  disassembled Boss Katana 100 amplifier: knobs  wires  circuit board  ports  speaker,2019,17500.5,65.165,1,0,2.2
14,97e73199-59b2-ea11-a812-000d3ad7a49b,139034,Sculpture,Iroko and iron,2021,16160.68,69.0,1,0,2.2
15,97e73199-59b2-ea11-a812-000d3ad7a49b,141152,Sculpture,boxing gloves  vintage textiles and chain,2021,17500.5,26.0,1,0,1.9
16,97e73199-59b2-ea11-a812-000d3ad7a49b,139318,Sculpture,Murano glass  mirror  ash wood,2021,17500.5,27.0,1,0,1.9
17,97e73199-59b2-ea11-a812-000d3ad7a49b,139704,Sculpture,glaze on porcelain,2021,62500.5,22.835,1,0,1.9
18,97e73199-59b2-ea11-a812-000d3ad7a49b,139856,Sculpture,30 Second super hair bonding glue (rubber latex  black carbon dye  Ammonium Hydroxide),2021,17500.5,21.0,1,0,1.6
19,97e73199-59b2-ea11-a812-000d3ad7a49b,133787,Video/Film,Single channel video animation,2011,30000.0,21.0,1,0,1.6
20,97e73199-59b2-ea11-a812-000d3ad7a49b,139587,Sculpture,Painted Iron,1954,280000.0,18.835,1,0,1.6
21,97e73199-59b2-ea11-a812-000d3ad7a49b,134869,Installation,22 spirit levels,2017,85000.0,16.0,1,0,1.6
22,97e73199-59b2-ea11-a812-000d3ad7a49b,140208,Sculpture,Six walnut sculptures; 36.5 × 16 × 33.25 inches,2019,17500.5,16.835,1,0,1.6
23,97e73199-59b2-ea11-a812-000d3ad7a49b,135191,Mixed Media,Polyester  cotton  wool  acrylic and cotton mercurisé woven together,2020,150000.0,11.0,1,0,1.3
24,97e73199-59b2-ea11-a812-000d3ad7a49b,134845,Sculpture,Corner sections of a wardrobe,2020,50000.0,14.0,1,0,1.3
25,97e73199-59b2-ea11-a812-000d3ad7a49b,134829,Sculpture,Steel  glass  motor  35 mm film,2021,71000.0,11.0,1,0,1.3
26,97e73199-59b2-ea11-a812-000d3ad7a49b,134670,Installation,Plexiglas  DMX controller  air pressure and temperature sensor  motor  belts,2020,625000.5,13.189,1,0,1.3
27,97e73199-59b2-ea11-a812-000d3ad7a49b,136928,Mixed Media,LANGUAGE + THE MATERIALS REFERRED TO,2018,250000.5,9.0,1,0,1.0
28,97e73199-59b2-ea11-a812-000d3ad7a49b,136633,Mixed Media,prints  tape  transparent sheet,2016,87500.5,7.0,1,0,1.0
29,97e73199-59b2-ea11-a812-000d3ad7a49b,134906,Sculpture,Corian  paint,2021,50000.0,6.998,1,0,1.0
30,97e73199-59b2-ea11-a812-000d3ad7a49b,138474,Sculpture,Ceramic  glaze  glass fragments,2021,17500.5,8.812,1,0,1.0
31,97e73199-59b2-ea11-a812-000d3ad7a49b,134675,Sculpture,Cast glass,2019,150000.5,7.189,1,0,1.0
32,97e73199-59b2-ea11-a812-000d3ad7a49b,138505,Sculpture,Bronze,2019,17500.5,7.0,1,0,1.0
33,97e73199-59b2-ea11-a812-000d3ad7a49b,133883,Other Materials,Birch  resin  plaster  coral  cement  sand  wax  lead  wood  water  juice  dry fruit,2020,30000.0,8.811,1,0,1.0
34,97e73199-59b2-ea11-a812-000d3ad7a49b,141151,Sculpture,glaze and gold lustre on porcelain,2021,17500.5,7.165,1,0,1.0
35,97e73199-59b2-ea11-a812-000d3ad7a49b,133974,Sculpture,Sahara grey stone  cigar ashes,2018,17500.5,4.0,1,0,0.7
36,97e73199-59b2-ea11-a812-000d3ad7a49b,133884,Video/Film,Single-channel video  colour and sound,1990,70000.0,5.0,1,0,0.7
37,97e73199-59b2-ea11-a812-000d3ad7a49b,134101,Sculpture,Blue African granite,1992,350000.5,4.0,1,0,0.7
38,97e73199-59b2-ea11-a812-000d3ad7a49b,133762,Sculpture,Wood  cow stomach  wax  cloth  isomo  epoxy  plastic,2021,62500.5,4.0,1,0,0.7
